year,month,sex,age,race
2012,2,M,24,Black
2012,2,M,22,White
2012,2,F,20,White
2012,2,M,58,White
2012,1,M,67,Black
2012,2,F,18,Black
2012,2,F,32,Black
2012,2,M,69,White
2012,2,M,84,White
2012,2,F,31,Black
2012,2,M,42,Black
2012,2,M,20,White
2012,2,M,48,White
2012,2,M,54,White
2012,2,F,37,White
2012,1,M,56,White
2012,2,M,34,Black
2012,2,F,20,White
2012,2,M,72,Black
2012,1,M,55,White
2012,2,M,35,White
2012,1,F,17,White
2012,3,M,37,White
2012,1,M,42,Black
2012,2,M,47,Black
2012,2,M,82,White
2012,2,M,25,White
2012,3,F,28,White
2012,2,M,38,White
2012,3,M,49,Black
2012,3,M,36,Black
2012,2,M,29,White
2012,2,M,75,White
2012,3,M,57,White
2012,2,M,49,Black
2012,3,M,73,White
2012,2,M,53,White
2012,3,F,24,White
2012,3,M,45,Black
2012,3,M,52,White
2012,3,M,81,White
2012,3,M,31,Black
2012,2,M,32,Black
2012,2,M,46,Black
2012,2,F,65,White
2012,2,M,18,Black
2012,3,M,15,Black
2012,3,M,49,White
2012,3,M,51,White
2012,1,M,29,Black
2012,3,M,62,White
2012,3,M,33,Hispanic
2012,3,M,78,White
2012,2,M,58,White
2012,3,M,34,White
2012,1,M,82,White
2012,3,M,23,Black
2012,3,M,83,White
2012,2,M,50,Black
2012,3,M,13,White
2012,3,M,17,Black
2012,3,M,30,White
2012,3,M,63,White
2012,3,M,64,White
2012,3,M,40,White
2012,3,M,42,White
2012,2,M,32,Black
2012,3,M,21,White
2012,3,M,37,White
2012,3,M,49,White
2012,3,M,37,White
2012,2,M,83,White
2012,3,F,54,White
2012,4,M,72,White
2012,3,M,74,White
2012,3,M,54,Black
2012,3,M,34,Black
2012,4,M,74,White
2012,2,M,24,Black
2012,3,M,46,White
2012,3,M,48,Black
2012,3,M,55,White
2012,3,M,48,White
2012,3,M,17,Black
2012,3,M,26,White
2012,3,M,19,Black
2012,3,M,40,White
2012,3,M,42,Black
2012,3,M,48,Black
2012,2,M,21,White
2012,3,M,25,Black
2012,3,M,30,Black
2012,3,M,23,White
2012,4,M,23,White
2012,4,M,49,White
2012,4,M,30,White
2012,4,M,64,White
2012,3,M,47,White
2012,3,F,68,White
2012,3,M,68,White
2012,3,M,27,White
2012,3,M,29,Black
2012,3,F,31,Black
2012,4,F,40,White
2012,4,M,41,White
2012,3,M,33,Black
2012,4,M,48,White
2012,4,M,19,White
2012,3,M,52,White
2012,4,M,75,White
2012,3,M,21,White
2012,4,M,24,White
2012,4,M,37,White
2012,4,F,37,White
2012,4,M,43,White
2012,4,M,53,White
2012,3,M,43,Black
2012,3,F,43,White
2012,4,M,28,White
2012,3,M,19,Black
2012,3,M,54,White
2012,4,M,86,White
2012,4,M,37,White
2012,4,M,17,Black
2012,4,F,46,White
2012,4,M,54,White
2012,4,M,52,White
2012,4,F,44,White
2012,4,F,40,White
2012,4,F,24,Black
2012,4,M,22,White
2012,4,F,69,White
2012,4,M,47,White
2012,4,F,32,White
2012,4,M,21,White
2012,4,M,26,Black
2012,4,M,63,White
2012,4,M,28,Black
2012,4,M,72,White
2012,3,M,57,Black
2012,4,M,52,White
2012,4,M,69,White
2012,4,M,50,White
2012,4,M,40,White
2012,4,M,36,Black
2012,4,M,40,White
2012,3,M,28,Black
2012,3,M,21,Black
2012,4,M,53,Black
2012,4,M,16,White
2012,4,F,29,Black
2012,4,F,48,White
2012,4,M,32,Black
2012,4,M,20,Black
2012,4,M,20,Black
2012,4,M,39,White
2012,4,M,19,White
2012,3,M,44,Black
2012,5,M,63,White
2012,5,M,17,Black
2012,5,M,43,White
2012,5,M,47,Black
2012,4,M,29,Black
2012,5,M,75,Black
2012,3,M,22,Black
2012,3,M,28,Black
2012,4,M,18,White
2012,5,M,84,White
2012,5,M,29,White
2012,5,M,20,Black
2012,5,M,18,White
2012,5,F,30,White
2012,5,M,50,White
2012,5,M,36,White
2012,5,M,88,White
2012,5,M,29,White
2012,5,M,87,White
2012,4,M,13,Black
2012,4,F,17,White
2012,5,M,40,White
2012,5,F,20,Asian/Pacific Islander
2012,5,M,58,White
2012,5,M,25,White
2012,5,M,34,White
2012,5,M,26,White
2012,5,F,44,White
2012,4,M,44,Black
2012,5,M,74,White
2012,5,M,82,White
2012,5,M,27,White
2012,5,M,61,White
2012,5,M,44,White
2012,5,M,34,White
2012,5,M,58,White
2012,5,M,74,White
2012,5,M,67,White
2012,5,M,73,White
2012,5,M,55,White
2012,4,F,55,White
2012,5,M,22,Black
2012,6,M,33,White
2012,6,M,40,White
2012,6,M,25,White
2012,5,M,52,White
2012,6,M,47,White
2012,4,M,32,Black
2012,5,M,33,Black
2012,4,M,23,White
2012,6,M,17,Black
2012,5,F,69,White
2012,6,M,22,Black
2012,4,M,45,White
2012,6,M,53,White
2012,5,M,78,White
2012,6,M,68,White
2012,5,M,33,Black
2012,6,M,55,White
2012,5,M,30,White
2012,5,M,71,White
2012,5,M,64,White
2012,6,M,45,White
2012,5,M,60,White
2012,5,F,20,Black
2012,5,M,60,White
2012,5,F,30,White
2012,6,M,13,White
2012,6,M,3,White
2012,5,M,34,Black
2012,5,M,26,Black
2012,5,M,64,White
2012,5,M,48,White
2012,6,F,39,White
2012,5,M,32,Black
2012,6,M,63,White
2012,6,F,29,White
2012,6,M,42,White
2012,6,M,20,Black
2012,6,F,18,White
2012,6,M,55,White
2012,6,M,20,Black
2012,6,M,82,White
2012,5,M,27,Black
2012,4,F,36,White
2012,6,M,49,White
2012,6,M,43,White
2012,6,M,50,White
2012,6,M,80,White
2012,6,M,63,White
2012,6,F,28,White
2012,6,M,35,White
2012,5,M,31,White
2012,5,F,45,White
2012,6,M,24,Black
2012,6,F,65,Black
2012,5,M,17,Black
2012,6,F,48,White
2012,5,F,25,White
2012,6,M,58,White
2012,6,M,65,White
2012,6,M,20,White
2012,6,M,60,White
2012,6,M,66,White
2012,6,M,75,White
2012,5,M,58,Black
2012,6,F,54,Black
2012,5,M,56,White
2012,6,M,23,Black
2012,6,M,25,Black
2012,6,M,69,White
2012,6,M,34,Black
2012,6,M,22,Black
2012,6,M,43,White
2012,6,M,19,White
2012,5,M,38,Black
2012,6,F,61,White
2012,7,M,65,White
2012,6,M,72,White
2012,6,M,33,Black
2012,6,M,33,Black
2012,6,M,39,White
2012,6,M,59,White
2012,7,M,29,White
2012,5,M,37,White
2012,7,M,66,White
2012,6,M,75,White
2012,7,F,20,Black
2012,6,F,51,White
2012,6,M,31,Black
2012,4,F,5,White
2012,7,F,40,White
2012,7,M,55,White
2012,6,M,22,Black
2012,6,M,56,White
2012,7,M,29,White
2012,7,M,63,Black
2012,7,M,79,White
2012,4,M,20,Black
2012,7,M,17,White
2012,6,M,28,Black
2012,7,M,69,White
2012,7,M,18,White
2012,7,M,45,White
2012,6,M,25,Black
2012,6,M,48,Black
2012,6,M,30,Black
2012,6,F,54,White
2012,6,M,57,Black
2012,7,M,50,White
2012,6,M,22,Black
2012,7,M,81,White
2012,7,F,49,White
2012,6,M,44,White
2012,7,M,80,White
2012,7,M,18,Black
2012,7,M,52,White
2012,7,M,54,White
2012,7,F,41,White
2012,6,M,81,White
2012,7,M,91,White
2012,7,M,19,White
2012,6,M,40,White
2012,7,F,25,Black
2012,6,M,17,White
2012,6,M,22,Black
2012,7,M,28,White
2012,7,M,50,White
2012,7,M,48,White
2012,7,M,27,White
2012,7,M,19,Black
2012,7,M,56,White
2012,6,F,37,White
2012,7,M,73,White
2012,7,M,65,Black
2012,7,M,27,White
2012,7,M,40,White
2012,7,M,43,White
2012,7,M,45,White
2012,7,M,59,White
2012,7,M,66,White
2012,7,M,65,Black
2012,6,M,33,Asian/Pacific Islander
2012,7,M,37,White
2012,7,M,71,White
2012,7,M,38,White
2012,8,F,52,White
2012,8,M,89,White
2012,7,M,28,Black
2012,6,M,57,White
2012,7,F,46,Black
2012,7,M,12,Black
2012,8,M,89,White
2012,7,M,20,White
2012,7,F,38,White
2012,7,M,25,Black
2012,7,M,53,White
2012,7,F,41,Black
2012,8,M,79,White
2012,8,F,55,White
2012,7,M,42,Black
2012,8,M,49,White
2012,7,M,80,Black
2012,7,M,50,White
2012,8,F,73,Black
2012,7,F,49,White
2012,8,F,48,White
2012,8,M,64,White
2012,8,M,65,White
2012,8,M,61,White
2012,8,M,20,White
2012,8,M,59,White
2012,7,F,31,White
2012,6,M,38,Black
2012,7,M,83,White
2012,8,M,29,White
2012,3,M,34,Black
2012,8,F,46,White
2012,8,F,31,White
2012,8,M,84,Black
2012,7,F,48,Black
2012,7,M,41,White
2012,8,M,58,White
2012,8,F,31,White
2012,8,F,65,White
2012,8,M,52,White
2012,8,M,72,White
2012,7,M,75,White
2012,8,M,52,Black
2012,8,M,17,Black
2012,8,M,52,White
2012,8,M,55,White
2012,8,F,49,White
2012,6,M,35,Black
2012,7,M,65,White
2012,8,M,63,White
2012,8,F,53,Black
2012,8,M,77,White
2012,8,M,52,White
2012,8,M,42,Hispanic
2012,7,M,32,Black
2012,8,M,61,White
2012,7,F,27,White
2012,8,M,53,Black
2012,8,M,73,White
2012,8,M,23,White
2012,8,M,61,White
2012,8,M,82,White
2012,8,M,28,White
2012,8,M,22,White
2012,5,M,28,Black
2012,8,M,64,Black
2012,8,F,33,White
2012,8,M,55,White
2012,8,F,62,White
2012,8,M,12,Black
2012,7,M,63,White
2012,8,M,29,White
2012,9,M,47,White
2012,8,F,78,White
2012,8,M,24,White
2012,8,M,65,White
2012,8,M,60,White
2012,9,M,55,White
2012,8,M,34,White
2012,8,M,22,Black
2012,9,M,46,White
2012,9,M,63,White
2012,9,M,34,White
2012,9,M,28,Black
2012,6,M,22,Black
2012,9,M,54,White
2012,9,M,82,Black
2012,8,M,36,Black
2012,8,M,62,White
2012,9,M,59,White
2012,9,M,30,White
2012,9,M,22,White
2012,9,M,37,Black
2012,9,M,28,White
2012,9,M,52,Black
2012,9,F,24,Black
2012,9,F,52,White
2012,9,M,41,Black
2012,9,M,60,White
2012,9,M,24,White
2012,8,M,21,Black
2012,9,M,34,White
2012,8,M,71,White
2012,9,M,18,White
2012,9,M,54,White
2012,9,M,37,White
2012,9,M,20,Black
2012,9,M,25,Black
2012,7,M,50,Black
2012,8,M,29,Black
2012,9,F,49,White
2012,9,M,22,White
2012,9,M,22,White
2012,9,F,4,Black
2012,8,M,30,White
2012,9,M,41,White
2012,8,M,50,White
2012,9,M,64,White
2012,8,M,38,White
2012,9,M,19,White
2012,7,M,67,White
2012,9,M,82,White
2012,8,M,40,Black
2012,9,M,61,White
2012,9,M,20,White
2012,9,M,46,White
2012,9,M,53,Black
2012,9,M,43,White
2012,9,F,43,White
2012,8,M,64,White
2012,9,M,56,Black
2012,8,M,20,Black
2012,9,M,65,White
2012,9,M,75,White
2012,8,M,39,White
2012,9,F,77,Black
2012,9,M,23,Black
2012,8,M,74,White
2012,9,M,71,White
2012,9,F,35,White
2012,9,F,21,White
2012,9,M,22,Black
2012,9,M,76,Black
2012,9,F,22,Black
2012,9,M,83,White
2012,9,M,39,Black
2012,9,F,17,White
2012,9,F,40,White
2012,9,M,37,White
2012,9,M,39,Black
2012,9,M,20,White
2012,9,M,22,White
2012,9,F,43,White
2012,9,M,46,White
2012,9,M,27,White
2012,9,M,54,Black
2012,9,M,55,White
2012,7,M,37,Black
2012,9,M,80,White
2012,9,F,21,Black
2012,8,M,64,White
2012,9,M,33,Black
2012,9,M,44,Black
2012,9,F,52,White
2012,9,F,42,Black
2012,9,M,48,Black
2012,10,M,63,White
2012,10,M,55,White
2012,10,F,58,White
2012,9,F,61,White
2012,9,M,26,Black
2012,10,M,65,White
2012,9,M,26,White
2012,10,M,52,White
2012,10,M,59,White
2012,10,M,28,Black
2012,10,M,47,Black
2012,10,M,65,White
2012,9,M,17,Black
2012,10,M,24,White
2012,10,M,45,White
2012,10,M,18,White
2012,9,F,52,Black
2012,9,M,18,Black
2012,9,F,52,Black
2012,9,F,64,White
2012,10,F,62,White
2012,10,M,60,White
2012,10,M,53,White
2012,10,M,49,White
2012,8,M,35,White
2012,10,M,21,White
2012,10,F,57,White
2012,10,M,81,White
2012,10,M,50,White
2012,10,M,50,White
2012,10,M,89,White
2012,10,M,66,White
2012,9,F,61,White
2012,10,M,20,Black
2012,10,M,18,Black
2012,10,M,17,Black
2012,10,M,59,White
2012,6,M,20,Black
2012,9,M,34,Black
2012,10,M,56,White
2012,9,M,35,Black
2012,10,M,84,White
2012,10,M,86,White
2012,9,M,54,White
2012,10,M,83,White
2012,10,M,79,White
2012,10,M,75,White
2012,10,M,24,Black
2012,10,M,73,White
2012,10,M,26,White
2012,10,F,14,White
2012,10,M,18,Black
2012,3,M,49,White
2012,10,F,47,White
2012,8,M,24,White
2012,10,F,63,White
2012,10,M,28,Black
2012,10,F,69,White
2012,10,M,55,White
2012,10,M,21,White
2012,10,M,22,Black
2012,10,M,67,Black
2012,11,M,67,White
2012,11,M,74,White
2012,9,M,19,Black
2012,10,F,51,White
2012,10,M,19,Black
2012,10,F,29,Black
2012,10,M,30,Black
2012,10,M,17,White
2012,10,M,43,White
2012,9,M,20,Black
2012,11,M,66,White
2012,10,M,24,Black
2012,10,M,71,White
2012,10,F,80,White
2012,10,M,20,Black
2012,10,M,40,White
2012,10,F,58,White
2012,10,F,57,White
2012,11,M,30,White
2012,11,M,65,White
2012,11,M,56,White
2012,11,M,68,White
2012,11,M,37,White
2012,11,M,50,White
2012,11,M,45,White
2012,9,M,19,Black
2012,11,M,52,White
2012,11,M,55,White
2012,11,M,48,White
2012,11,M,71,Black
2012,11,M,82,White
2012,11,F,37,White
2012,10,M,57,Native American/Native Alaskan
2012,10,M,41,White
2012,10,M,19,Black
2012,10,M,60,White
2012,11,M,84,White
2012,11,F,56,White
2012,10,M,20,Black
2012,10,M,19,Black
2012,10,M,38,Black
2012,11,M,16,White
2012,11,M,66,White
2012,11,M,56,White
2012,11,F,43,White
2012,11,M,67,White
2012,11,M,33,White
2012,11,M,40,Hispanic
2012,11,M,54,White
2012,11,M,52,White
2012,10,M,25,Black
2012,11,M,35,Black
2012,11,M,47,White
2012,11,M,35,White
2012,11,M,67,White
2012,11,F,35,White
2012,11,M,18,White
2012,11,M,67,White
2012,11,M,53,White
2012,10,M,33,Black
2012,11,M,21,Black
2012,10,M,35,White
2012,11,M,39,Black
2012,10,M,30,White
2012,11,F,47,White
2012,11,M,45,White
2012,10,M,53,White
2012,11,M,22,Black
2012,11,M,50,White
2012,11,M,95,White
2012,11,M,51,White
2012,11,F,43,White
2012,11,M,31,Black
2012,11,F,36,Black
2012,11,M,73,White
2012,11,M,21,Black
2012,12,M,20,White
2012,11,M,27,Black
2012,11,M,24,Black
2012,11,M,23,Black
2012,11,M,19,White
2012,11,M,71,White
2012,12,M,22,Black
2012,11,M,28,White
2012,11,M,24,Hispanic
2012,11,M,43,White
2012,11,M,61,White
2012,12,M,49,Asian/Pacific Islander
2012,10,F,43,White
2012,11,M,50,White
2012,12,M,44,Black
2012,12,M,61,White
2012,10,M,25,Black
2012,12,F,96,White
2012,6,M,42,White
2012,12,M,60,White
2012,12,M,24,Black
2012,11,M,33,Black
2012,9,M,17,White
2012,12,M,59,White
2012,12,M,41,White
2012,11,M,28,Black
2012,12,M,40,White
2012,12,M,57,White
2012,11,M,44,Black
2012,12,M,77,White
2012,11,M,39,Black
2012,12,M,68,White
2012,11,F,29,Black
2012,12,M,68,White
2012,12,M,31,Black
2012,12,M,25,Black
2012,11,M,48,White
2012,12,M,21,Black
2012,11,M,21,Black
2012,12,M,23,Black
2012,12,M,37,White
2012,11,M,21,Black
2012,12,M,24,Black
2012,12,M,41,White
2012,12,M,26,White
2012,12,M,24,Black
2012,12,M,50,White
2012,11,M,37,Black
2012,12,M,38,Black
2012,12,M,66,White
2012,12,M,63,Black
2012,12,M,18,Hispanic
2012,12,M,36,Hispanic
2012,12,M,23,Hispanic
2012,12,M,38,White
2012,11,M,24,Black
2012,12,M,41,White
2012,11,M,26,Black
2012,12,M,25,White
2012,12,M,21,Black
2012,12,M,31,White
2012,11,F,70,White
2012,11,M,43,Black
2012,12,M,18,Black
2012,12,M,20,White
2012,12,M,25,Black
2012,12,M,36,White
2012,12,M,34,Black
2012,12,M,73,White
2012,12,M,42,White
2012,12,M,54,White
2012,12,F,66,White
2012,12,F,54,White
2012,11,M,24,Black
2012,12,M,33,Black
2012,12,F,52,White
2012,12,M,33,Hispanic
2012,12,M,25,White
2012,12,M,19,Black
2012,12,F,20,Black
2012,12,M,73,White
2012,12,M,58,White
2012,12,F,72,White
2012,11,M,30,Black
2012,12,M,19,Black
2012,11,M,32,Black
2012,12,M,68,White
2012,12,M,20,Black
2012,12,M,47,Black
2012,12,M,22,Black
2012,12,M,39,White
2012,12,M,42,Black
2012,12,M,35,Black
2012,12,M,18,Black
2012,12,M,65,Black
2012,8,M,25,Black
2012,6,M,20,Black
2012,12,M,36,Black
2012,11,M,53,White
2012,12,M,15,White
2012,12,M,50,White
2012,12,F,33,White
2012,10,M,25,White
2012,1,M,54,Black
2012,4,M,39,Black
2012,5,M,39,Black
2012,11,M,72,White
2012,12,M,39,Black
2012,1,M,22,Black
2012,1,M,47,White
2012,1,F,24,White
2012,1,M,19,White
2012,1,M,61,White
2012,1,M,77,White
2012,1,F,34,White
2012,1,F,54,White
2012,1,M,75,White
2012,1,F,40,White
2012,1,M,36,White
2012,1,F,39,Black
2012,1,M,20,White
2012,1,M,28,White
2012,1,M,20,Black
2012,1,M,78,White
2012,1,M,60,White
2012,1,M,58,White
2012,1,M,59,White
2012,1,M,73,White
2012,1,M,57,White
2012,1,M,28,Black
2012,1,F,16,White
2012,1,M,31,Black
2012,1,M,71,White
2012,1,M,42,White
2012,1,M,32,Black
2012,1,M,48,White
2012,1,M,82,White
2012,1,M,56,White
2012,1,M,41,White
2012,1,M,37,White
2012,1,M,53,White
2012,1,M,32,White
2012,1,M,24,White
2012,1,M,38,Black
2012,2,M,60,Native American/Native Alaskan
2012,1,M,51,White
2012,1,M,37,White
2012,1,M,57,White
2012,1,M,29,White
2012,1,M,35,White
2012,1,M,36,White
2012,1,F,39,White
2012,1,F,40,White
2012,1,M,51,White
2012,1,F,36,White
2012,1,M,33,Black
2012,1,M,28,Black
2012,1,M,15,White
2012,1,M,19,Black
2012,2,F,40,White
2012,1,M,55,White
2012,1,M,83,Black
2012,2,M,78,White
2012,2,M,84,White
2012,2,M,87,White
2012,2,M,25,White
2012,1,M,36,White
2012,1,M,43,White
2012,2,M,29,Black
2012,2,M,48,White
2012,1,M,23,Black
2012,2,M,18,White
2012,2,M,40,White
2012,2,M,60,White
2012,2,M,46,White
2012,2,F,29,White
2012,2,M,68,White
2012,2,M,59,White
2012,1,M,32,White
2012,2,M,30,White
2012,1,M,26,White
2012,2,M,73,White
2012,2,F,21,Black
2012,2,M,83,White
2012,2,M,35,White
2012,3,M,77,White
2012,2,M,81,White
2012,3,M,46,White
2012,3,M,62,White
2012,3,M,73,White
2012,2,M,34,White
2012,2,M,21,White
2012,3,F,56,White
2012,3,M,68,White
2012,3,M,28,White
2012,2,F,14,Black
2012,2,M,32,Black
2012,2,M,58,White
2012,2,M,58,White
2012,3,M,30,White
2012,2,M,56,White
2012,3,M,60,White
2012,3,F,48,White
2012,3,M,21,White
2012,2,M,73,White
2012,3,M,23,White
2012,3,M,49,White
2012,3,M,42,White
2012,3,M,18,White
2012,3,M,45,White
2012,3,M,66,White
2012,3,M,12,Black
2012,3,M,22,Black
2012,3,M,38,White
2012,3,M,66,White
2012,3,M,88,White
2012,3,F,38,White
2012,3,M,27,White
2012,3,M,57,Black
2012,3,M,68,White
2012,3,M,51,White
2012,3,M,7,White
2012,3,M,26,Black
2012,3,M,50,White
2012,3,M,60,White
2012,3,M,65,Black
2012,3,M,35,White
2012,3,M,58,White
2012,3,M,73,White
2012,3,M,60,White
2012,3,M,47,White
2012,3,F,32,White
2012,3,M,20,White
2012,3,M,63,White
2012,3,M,68,White
2012,3,M,45,White
2012,4,M,21,Black
2012,4,M,30,White
2012,4,M,21,White
2012,4,F,35,White
2012,4,M,80,White
2012,4,M,33,Hispanic
2012,4,M,39,Hispanic
2012,3,M,29,White
2012,4,M,22,Black
2012,4,F,27,White
2012,4,M,37,White
2012,4,M,42,White
2012,4,M,29,White
2012,4,M,58,White
2012,4,M,16,White
2012,4,F,17,White
2012,4,M,51,Hispanic
2012,4,M,22,Black
2012,4,M,66,White
2012,4,F,22,White
2012,4,M,17,White
2012,4,M,29,White
2012,4,M,32,White
2012,4,F,61,White
2012,4,M,22,White
2012,4,F,42,White
2012,4,M,45,White
2012,4,F,40,White
2012,4,M,28,White
2012,4,M,56,White
2012,4,M,58,White
2012,4,M,65,White
2012,2,F,44,White
2012,5,M,51,White
2012,5,M,82,White
2012,5,M,60,White
2012,4,M,58,White
2012,4,M,50,White
2012,5,M,22,White
2012,5,M,27,Black
2012,5,M,85,White
2012,5,M,79,White
2012,4,M,41,Black
2012,4,M,31,White
2012,5,M,25,Black
2012,5,M,56,White
2012,5,F,54,White
2012,5,M,51,Black
2012,5,M,51,White
2012,5,M,61,White
2012,5,M,81,Black
2012,5,F,24,Black
2012,5,M,61,White
2012,5,M,77,White
2012,5,M,29,Black
2012,5,M,48,White
2012,5,M,34,White
2012,5,M,37,Black
2012,5,M,27,Black
2012,5,F,72,White
2012,5,M,37,White
2012,5,M,65,White
2012,5,M,28,White
2012,5,M,60,White
2012,5,M,80,White
2012,5,M,26,White
2012,5,F,55,White
2012,5,M,18,Black
2012,5,M,37,White
2012,5,M,36,White
2012,5,M,59,White
2012,5,F,34,Black
2012,5,M,44,Black
2012,5,M,14,Black
2012,5,M,58,White
2012,6,F,63,White
2012,5,M,31,White
2012,5,M,20,Black
2012,6,M,38,White
2012,6,M,26,Hispanic
2012,5,M,55,White
2012,6,F,15,White
2012,6,M,51,White
2012,6,F,69,White
2012,6,M,27,Black
2012,6,F,52,White
2012,6,F,50,White
2012,6,M,65,White
2012,6,M,25,Black
2012,5,F,49,Black
2012,6,M,35,Black
2012,6,M,59,White
2012,6,M,44,White
2012,6,M,21,White
2012,6,M,61,White
2012,6,M,48,White
2012,6,M,52,White
2012,6,M,31,White
2012,5,M,19,Black
2012,6,M,28,White
2012,6,F,52,White
2012,6,M,75,White
2012,6,M,35,White
2012,6,F,28,White
2012,6,M,57,White
2012,6,F,22,Black
